region,flyId,map,x,y,healLocation
0,0,PalletTown,6,8,HEAL_LOCATION_PALLET_TOWN
0,1,ViridianCity,26,27,HEAL_LOCATION_VIRIDIAN_CITY
0,2,PewterCity,17,26,HEAL_LOCATION_PEWTER_CITY
0,3,CeruleanCity,22,20,HEAL_LOCATION_CERULEAN_CITY
0,4,LavenderTown,6,6,HEAL_LOCATION_LAVENDER_TOWN
0,5,VermilionCity,15,7,HEAL_LOCATION_VERMILION_CITY
0,6,CeladonCity,48,12,HEAL_LOCATION_CELADON_CITY
0,7,FuchsiaCity,25,32,HEAL_LOCATION_FUCHSIA_CITY
0,8,CinnabarIsland,14,12,HEAL_LOCATION_CINNABAR_ISLAND
0,9,IndigoPlateau_Exterior,11,7,HEAL_LOCATION_INDIGO_PLATEAU
0,10,SaffronCity,24,39,HEAL_LOCATION_SAFFRON_CITY
0,11,Route4,12,6,HEAL_LOCATION_ROUTE4
0,12,Route10,13,21,HEAL_LOCATION_ROUTE10
0,13,OneIsland,14,6,HEAL_LOCATION_ONE_ISLAND
0,14,TwoIsland,21,8,HEAL_LOCATION_TWO_ISLAND
0,15,ThreeIsland,14,28,HEAL_LOCATION_THREE_ISLAND
0,16,FourIsland,18,21,HEAL_LOCATION_FOUR_ISLAND
0,17,FiveIsland,18,7,HEAL_LOCATION_FIVE_ISLAND
0,18,SevenIsland,12,4,HEAL_LOCATION_SEVEN_ISLAND
0,19,SixIsland,11,12,HEAL_LOCATION_SIX_ISLAND
1,0,LittlerootTown_BrendansHouse_2F,4,2,HEAL_LOCATION_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F
1,1,LittlerootTown_MaysHouse_2F,4,2,HEAL_LOCATION_LITTLEROOT_TOWN_MAYS_HOUSE_2F
1,2,PetalburgCity,20,17,HEAL_LOCATION_PETALBURG_CITY
1,3,SlateportCity,19,20,HEAL_LOCATION_SLATEPORT_CITY
1,4,MauvilleCity,22,6,HEAL_LOCATION_MAUVILLE_CITY
1,5,RustboroCity,16,39,HEAL_LOCATION_RUSTBORO_CITY
1,6,FortreeCity,5,7,HEAL_LOCATION_FORTREE_CITY
1,7,LilycoveCity,24,15,HEAL_LOCATION_LILYCOVE_CITY
1,8,MossdeepCity,28,17,HEAL_LOCATION_MOSSDEEP_CITY
1,9,SootopolisCity,43,32,HEAL_LOCATION_SOOTOPOLIS_CITY
1,10,EverGrandeCity,27,49,HEAL_LOCATION_EVER_GRANDE_CITY
1,11,LittlerootTown,5,9,HEAL_LOCATION_LITTLEROOT_TOWN_BRENDANS_HOUSE
1,12,LittlerootTown,14,9,HEAL_LOCATION_LITTLEROOT_TOWN_MAYS_HOUSE
1,13,OldaleTown,6,17,HEAL_LOCATION_OLDALE_TOWN
1,14,DewfordTown,2,11,HEAL_LOCATION_DEWFORD_TOWN
